index,star,a_arcsec,a_arcsec_err,a_AU,a_AU_err,ecc,ecc_err,inc,inc_err,Omega,Omega_err,omega,omega_err,t_P,t_P_err,period,period_err,m_K,r,mass_BH,mass_BH_err
1,1,0.508,0.028,4231.64,233.24,0.496,0.028,120.82,0.46,341.61,0.51,115.3,2.5,0.95,0.27,132,11.,14.7,1.49,4348888.556,566421.8726
2,2,0.123,0.001,1024.59,8.33,0.88,0.003,135.25,0.47,225.39,0.84,63.56,0.84,2.32,0.01,15.8,0.11,14,1.22,4308599.876,55017.84968
3,4,0.298,0.019,2482.34,158.27,0.406,0.022,77.83,0.32,258.11,0.3,316.4,2.9,-25.6,1,59.5,2.6,14.4,1.99,4320657.739,385246.0083
4,5,0.25,0.042,2082.5,349.86,0.842,0.017,143.7,4.7,109,10,236.3,8.2,-16.4,2.5,45.7,6.9,15.2,1.93,4324367.852,1199987.734
5,6,0.436,0.153,3631.88,1274.49,0.886,0.026,86.44,0.59,83.46,0.69,129.5,3.1,63,21,105,34.,15.4,1.45,4345261.062,2725781.591
6,8,0.411,0.004,3423.63,33.32,0.824,0.014,74.01,0.73,315.9,0.5,345.2,1.1,-16.2,0.4,96.1,1.6,14.5,1.2,4345239.257,110710.2391
7,9,0.293,0.052,2440.69,433.16,0.825,0.02,81,0.7,147.58,0.44,225.2,2.3,-12.2,2.1,58,9.5,15.1,2.23,4321971.295,1290250.031
8,12,0.308,0.008,2565.64,66.64,0.9,0.003,31.61,0.76,240.4,4.6,308.8,3.8,-4.37,0.03,62.5,2.3,15.5,1.54,4323416.932,251537.8178
9,13,0.297,0.012,2474.01,99.96,0.49,0.023,25.5,1.6,73.1,4.1,248.2,5.4,4.9,0.09,59.2,3.8,15.8,2.33,4320767.909,429555.8418
10,14,0.256,0.01,2132.48,83.3,0.963,0.006,99.4,1,227.74,0.7,339,1.6,0.07,0.06,47.3,2.9,15.7,1.99,4334436.239,412414.6308
11,17,0.311,0.004,2590.63,33.32,0.364,0.015,96.44,0.18,188.06,0.32,31945,3.2,-8,0.3,63.2,2,15.3,2.46,4352933.322,202699.8858
12,18,0.265,0.08,2207.45,666.4,0.759,0.052,116,2.7,215.2,3.6,151.7,2.9,-4,0.9,50,16.,16.7,2.34,4302616.292,2468511.318
13,19,0.798,0.064,6647.34,533.12,0.844,0.062,73.58,0.61,342.9,1.2,153.3,3,5.1,0.22,260,31.,16,2.31,4345072.05,813231.7658
14,21,0.213,0.041,1774.29,341.53,0.784,0.028,54.8,2.7,252.7,4.2,182.6,8.2,28.1,5.5,35.8,6.9,16.9,1.55,4358206.07,1489706.547
15,24,1.06,0.178,8829.8,1482.74,0.933,0.01,106.3,0.93,4.2,1.3,291.5,1.5,24.9,5.5,398,73.,15.6,1.78,4345967.316,1365097.019
16,27,0.454,0.078,3781.82,649.74,0.952,0.006,92.91,0.73,191.9,0.92,308.2,1.8,59.7,9.9,112,18.,15.6,1.79,4311878.526,1254605.655
17,29,0.397,0.335,3307.01,2790.55,0.916,0.048,122,11,157.2,2.5,343.3,5.7,21,18,91,79.,16.7,1.92,4367407.744,9000882.94
18,31,0.298,0.044,2482.34,366.52,0.934,0.007,153.8,5.8,103,11,314,10,13.8,2.2,59.4,9.2,15.7,1.97,4335217.653,1160664.047
19,33,0.41,0.088,3415.3,733.04,0.731,0.039,42.9,4.5,82.9,5.9,328.1,4.5,-32.1,6.5,96,21.,16,2.02,4322590.636,1675581.977
20,38,0.139,0.041,1157.87,341.53,0.802,0.041,166,22,286,68,203,68,3,0.2,18.9,5.8,17,2.13,4345660.521,2402450.768
21,66,1.21,0.126,10079.3,1049.58,0.178,0.039,135.4,2.6,96.8,2.9,106,6.3,-218,23,486,41.,14.8,1.15,4335294.219,692939.3941
22,67,1.095,0.102,9121.35,849.66,0.368,0.041,139.9,2.3,106,6.1,215.2,4.8,-305,16,419,19.,12.1,1.53,4322642.467,494574.2568
23,71,1.061,0.765,8838.13,6372.45,0.844,0.075,76.3,3.6,34.6,1.5,331.4,7.1,-354,251,399,283.,16.1,2.44,4336460.198,7001805.234
24,83,2.785,0.234,23199.05,1949.22,0.657,0.096,123.8,1.3,73.6,2.1,197.2,3.5,61,25,1700,205.,13.6,1.23,4320288.609,823601.7831
25,87,1.26,0.161,10495.8,1341.13,0.423,0.036,142.7,4.4,109.9,2.9,41.5,3.7,-353,38,516,44.,13.6,0.94,4342574.085,776044.3607
26,96,1.545,0.209,12869.85,1740.97,0.131,0.054,126.8,2.4,115.78,1.93,231,9,-376,34,701,81.,10,1.4,4337948.778,933839.1145
27,97,2.186,0.844,18209.38,7030.52,0.302,0.308,114.6,5,107.72,3.15,38,52,175,88,1180,688.,10.3,1.15,4336321.386,4154390.003
